release_year,runtime,seasons,imdb_score,type,title
1931,73,0.0,6.1,MOVIE,"Parlor, Bedroom and Bath"
1937,72,0.0,5.1,MOVIE,23 1/2 Hours Leave
1935,68,0.0,3.6,MOVIE,The Pace That Kills
1946,65,0.0,5.2,MOVIE,Dirty Gertie from Harlem U.S.A.
1945,72,0.0,5.2,MOVIE,Fog Island
1939,69,0.0,6.8,MOVIE,The Flying Deuces
1919,87,0.0,6.9,MOVIE,True Heart Susie
1929,75,0.0,5.4,MOVIE,Big News
1932,76,0.0,5.6,MOVIE,Mr. Robinson Crusoe
1931,79,0.0,5.1,MOVIE,The Painted Desert
1941,66,0.0,6.6,MOVIE,Secret of the Wastelands
1938,85,0.0,5.6,MOVIE,Blockade
1943,76,0.0,5.6,MOVIE,Two Weeks to Live
1934,53,0.0,5.3,MOVIE,Randy Rides Alone
1946,89,0.0,6.2,MOVIE,Abilene Town
1949,82,0.0,6.0,MOVIE,Port of New York
1938,70,0.0,5.7,MOVIE,God's Step Children
1932,52,0.0,4.7,MOVIE,Broadway to Cheyenne
1922,143,0.0,5.5,MOVIE,One Exciting Night
1945,67,0.0,5.7,MOVIE,Apology for Murder
1943,72,0.0,6.7,MOVIE,Hi Diddle Diddle
1949,70,0.0,4.3,MOVIE,Wild Weed
1946,93,0.0,5.9,MOVIE,Love Laughs at Andy Hardy
1947,88,0.0,5.6,MOVIE,The Fabulous Dorseys
1935,75,0.0,5.7,MOVIE,The Hoosier Schoolmaster
1942,65,0.0,5.2,MOVIE,Man With Two Lives
1933,75,0.0,6.3,MOVIE,I Cover the Waterfront
1935,54,0.0,5.3,MOVIE,The Desert Trail
1934,88,0.0,5.7,MOVIE,Marie Galante
1935,52,0.0,5.1,MOVIE,The Dawn Rider
1950,87,0.0,5.8,MOVIE,The Admiral Was a Lady
1945,71,0.0,3.0,MOVIE,White Pongo
1938,78,0.0,7.0,MOVIE,The Rage of Paris
1944,65,0.0,7.0,MOVIE,Why We Fight: The Battle of China
1950,82,0.0,6.4,MOVIE,Never Fear
1950,81,0.0,6.8,MOVIE,The Man Who Cheated Himself
1942,61,0.0,5.9,MOVIE,Lucky Ghost
1941,64,0.0,5.9,MOVIE,Redhead
1935,63,0.0,5.9,MOVIE,Rocky Mountain Mystery
1939,58,0.0,5.4,MOVIE,Rough Riders' Round-up
1948,56,0.0,7.5,MOVIE,Fighting Mustang
1949,92,0.0,5.2,MOVIE,Outpost in Morocco
1950,83,0.0,5.6,MOVIE,The Sundowners
1936,56,0.0,5.7,MOVIE,Rogue of the Range
1948,61,0.0,5.5,MOVIE,Bill and Coo
1950,99,0.0,6.4,MOVIE,Edge of Doom
1938,65,0.0,5.4,MOVIE,Saleslady
1938,91,0.0,6.5,MOVIE,The Cowboy and the Lady
1931,64,0.0,5.6,MOVIE,The Sea Ghost
1946,41,0.0,6.6,MOVIE,'Neath Canadian Skies
1932,79,0.0,6.1,MOVIE,The Greeks Had a Word for Them
1942,70,0.0,5.6,MOVIE,Mr. Wise Guy
1938,58,0.0,5.6,MOVIE,Rawhide
1932,60,0.0,4.8,MOVIE,Discarded Lovers
1938,70,0.0,4.8,MOVIE,Tarzan's Revenge
1941,158,0.0,7.1,MOVIE,Sabapathy
1935,67,0.0,4.8,MOVIE,Condemned to Live
1947,88,0.0,5.7,MOVIE,Calendar Girl
1947,59,0.0,6.3,MOVIE,The Fabulous Joe
1941,66,0.0,5.8,MOVIE,Outlaws of the Desert
1935,83,0.0,6.6,MOVIE,The Wedding Night
1932,81,0.0,5.8,MOVIE,Speak Easily
1941,78,0.0,6.9,MOVIE,Mr. Bug Goes to Town
1936,80,0.0,5.9,MOVIE,One Rainy Afternoon
1941,79,0.0,6.6,MOVIE,Wide Open Town
1916,138,0.0,6.4,MOVIE,Joan the Woman
1946,79,0.0,6.4,MOVIE,My Pal Trigger
1931,92,0.0,6.2,MOVIE,Indiscreet
1940,102,0.0,6.2,MOVIE,The Son of Monte Cristo
1936,77,0.0,6.2,MOVIE,Winterset
1943,65,0.0,6.2,MOVIE,Border Patrol
1942,61,0.0,5.8,MOVIE,'Neath Brooklyn Bridge
1915,75,0.0,6.5,MOVIE,"Fanchon, the Cricket"
1936,56,0.0,5.9,MOVIE,Ghost Town
1938,70,0.0,6.0,MOVIE,"Mr. Wong, Detective"
1937,93,0.0,6.2,MOVIE,Something to Sing About
1950,88,0.0,6.0,MOVIE,Borderline
1948,87,0.0,6.6,MOVIE,Mickey
1939,97,0.0,6.6,MOVIE,Nurse Edith Cavell
1939,95,0.0,5.7,MOVIE,Eternally Yours
1943,121,0.0,5.8,MOVIE,This Is the Army
1934,61,0.0,5.6,MOVIE,The Lucky Texan
1939,58,0.0,5.5,MOVIE,Irish Luck
1936,60,0.0,4.5,MOVIE,Ghost Patrol
1950,66,0.0,4.3,MOVIE,Forbidden Jungle
1946,61,0.0,6.5,MOVIE,Dark Alibi
1933,74,0.0,5.9,MOVIE,"Sing, Sinner, Sing"
1941,50,0.0,6.0,MOVIE,Tanks a Million
1949,57,0.0,5.3,MOVIE,Call of the Forest
1934,56,0.0,5.6,MOVIE,Wagon Wheels
1935,55,0.0,5.0,MOVIE,High School Girl
1941,57,0.0,5.3,MOVIE,The Blood of Jesus
1947,56,0.0,6.2,MOVIE,Vigilantes of Boomtown
1938,57,0.0,6.1,MOVIE,Arrest Bulldog Drummond
1936,58,0.0,5.6,MOVIE,Desert Gold
1942,61,0.0,5.3,MOVIE,Phantom Killer
1944,121,0.0,6.2,MOVIE,Guest in the House
1945,80,0.0,5.9,MOVIE,Doll Face
1941,84,0.0,5.7,MOVIE,Second Chorus
1941,86,0.0,6.0,MOVIE,Niagara Falls
1939,58,0.0,6.3,MOVIE,Saga of Death Valley
1941,90,0.0,5.7,MOVIE,Sundown
1933,53,0.0,5.4,MOVIE,Riders of Destiny
1941,69,0.0,5.5,MOVIE,The Miracle Kid
1943,91,0.0,7.0,MOVIE,The Adventures of Tartu
1930,66,0.0,4.9,MOVIE,The Medicine Man
1936,70,0.0,5.7,MOVIE,Let's Sing Again
1933,72,0.0,5.6,MOVIE,A Study in Scarlet
1940,62,0.0,5.7,MOVIE,That Gang of Mine
1920,109,0.0,5.7,MOVIE,Nomads of the North
1944,57,0.0,5.4,MOVIE,Dark Mountain
1947,64,0.0,5.2,MOVIE,A Night at the Follies
1930,91,0.0,5.5,MOVIE,Reaching for the Moon
1942,67,0.0,4.5,MOVIE,Private Snuffy Smith
1942,48,0.0,6.0,MOVIE,Hay Foot
1934,53,0.0,5.2,MOVIE,The Star Packer
1946,113,0.0,6.5,MOVIE,The Kid from Brooklyn
1938,65,0.0,5.9,MOVIE,Under Western Stars
1939,60,0.0,5.5,MOVIE,Fighting Mad
1932,56,0.0,5.9,MOVIE,Hearts of Humanity
1943,79,0.0,5.6,MOVIE,The Kansan
1947,74,0.0,5.6,MOVIE,Bells of San Angelo
1947,65,0.0,6.1,MOVIE,Dick Tracy Meets Gruesome
1933,74,0.0,5.7,MOVIE,"Dance, Girl, Dance"
1937,60,0.0,5.6,MOVIE,Springtime in the Rockies
1943,70,0.0,6.4,MOVIE,Riders of the Deadline
1936,67,0.0,5.7,MOVIE,The Bold Caballero
1937,62,0.0,5.6,MOVIE,Rhythm in the Clouds
1940,61,0.0,6.1,MOVIE,British Intelligence
1938,72,0.0,4.5,MOVIE,Tarzan and the Green Goddess
1942,54,0.0,5.3,MOVIE,Western Mail
1943,71,0.0,6.3,MOVIE,Man from Music Mountain
1937,75,0.0,5.5,MOVIE,When's Your Birthday?
1934,62,0.0,5.0,MOVIE,Monte Carlo Nights
1943,66,0.0,5.4,MOVIE,Submarine Alert
1943,68,0.0,6.4,MOVIE,Leather Burners
1945,92,0.0,6.0,MOVIE,Delightfully Dangerous
1937,54,0.0,5.7,MOVIE,Renfrew of the Royal Mounted
1942,82,0.0,5.6,MOVIE,American Empire
1948,94,0.0,5.7,MOVIE,My Dear Secretary
1948,73,0.0,5.9,MOVIE,Money Madness
1941,69,0.0,4.6,MOVIE,Flying Blind
1941,98,0.0,5.4,MOVIE,Sunny
1925,111,0.0,6.9,MOVIE,Don Q Son of Zorro
1940,68,0.0,5.4,MOVIE,The Fatal Hour
1938,77,0.0,5.5,MOVIE,I Met My Love Again
1930,72,0.0,6.6,MOVIE,The Devil to Pay!
1940,68,0.0,5.8,MOVIE,Pride of the Bowery
1945,57,0.0,3.8,MOVIE,Wildfire
1930,84,0.0,6.9,MOVIE,The Silent Enemy
1939,56,0.0,6.1,MOVIE,Bulldog Drummond's Bride
1937,53,0.0,5.9,MOVIE,Meet the Boy Friend
1938,70,0.0,6.5,MOVIE,Bar 20 Justice
1944,90,0.0,7.0,MOVIE,Target for Today
1929,94,0.0,6.0,MOVIE,The Great Gabbo
1942,63,0.0,6.3,MOVIE,Sunset on the Desert
1936,54,0.0,6.0,MOVIE,Winds of the Wasteland
1936,57,0.0,6.1,MOVIE,The Kid Ranger
1938,57,0.0,2.8,MOVIE,Sex Madness
1933,63,0.0,5.1,MOVIE,Jungle Bride
1935,59,0.0,5.5,MOVIE,The Courageous Avenger
1932,61,0.0,6.5,MOVIE,"Come On, Tarzan"
1920,104,0.0,6.0,MOVIE,The Love Flower
1943,73,0.0,4.7,MOVIE,Corregidor
1949,69,0.0,6.6,MOVIE,Riders in the Sky
1940,77,0.0,6.0,MOVIE,Dr. Kildare's Strange Case
1932,60,0.0,5.1,MOVIE,A Strange Adventure
1947,58,0.0,5.3,MOVIE,Bush Pilot
1937,57,0.0,5.5,MOVIE,Western Gold
1929,63,0.0,5.3,MOVIE,High Voltage
1940,54,0.0,5.9,MOVIE,Colorado
1942,70,0.0,5.7,MOVIE,The Panther's Claw
1950,65,0.0,4.2,MOVIE,Sarumba
1941,75,0.0,5.7,MOVIE,Broadway Limited
1941,45,0.0,4.7,MOVIE,Fiesta
1918,84,0.0,6.9,MOVIE,Stella Maris
1949,92,0.0,5.6,MOVIE,The Big Wheel
1938,66,0.0,5.3,MOVIE,Spirit of Youth
1946,90,0.0,5.6,MOVIE,Breakfast in Hollywood
1944,69,0.0,5.4,MOVIE,The Yellow Rose of Texas
1950,69,0.0,6.4,MOVIE,Beyond the Purple Hills
1941,67,0.0,5.8,MOVIE,Melody for Three
1927,52,0.0,6.8,MOVIE,Rubber Tires
1943,67,0.0,6.4,MOVIE,Hoppy Serves a Writ
1938,54,0.0,5.3,MOVIE,The Old Barn Dance
1929,61,0.0,5.1,MOVIE,Campus Knights
1942,68,0.0,5.4,MOVIE,Lady from Chungking
1935,74,0.0,5.5,MOVIE,Honeymoon Limited
1949,94,0.0,7.2,MOVIE,The Woman I Lost
1943,63,0.0,5.9,MOVIE,Combat America
1942,63,0.0,4.7,MOVIE,Hillbilly Blitzkrieg
1931,85,0.0,6.3,MOVIE,Lonely Wives
1946,77,0.0,6.7,MOVIE,"A Boy, a Girl and a Dog"
1944,68,0.0,2.6,MOVIE,I Accuse My Parents
1932,79,0.0,5.3,MOVIE,The Hurricane Express
1939,52,0.0,4.9,MOVIE,Fangs of the Wild
1934,55,0.0,5.1,MOVIE,The Man From Utah
1920,71,0.0,5.2,MOVIE,Headin' Home
1939,62,0.0,5.7,MOVIE,Navy Secrets
1945,68,0.0,6.2,MOVIE,Bells of Rosarita
1936,65,0.0,5.8,MOVIE,Born to Fight
1925,79,0.0,6.5,MOVIE,Tumbleweeds
1945,90,0.0,6.4,MOVIE,The Stork Club
1944,74,0.0,6.6,MOVIE,San Fernando Valley
1938,93,0.0,6.3,MOVIE,Trade Winds
1947,61,0.0,3.6,MOVIE,Queen of the Amazons
1933,67,0.0,4.4,MOVIE,Reckless Decision
1948,55,0.0,4.6,MOVIE,Who Killed Doc Robbin?
1937,67,0.0,6.0,MOVIE,Bulldog Drummond Escapes
1949,87,0.0,4.7,MOVIE,State Department: File 649
1939,85,0.0,5.0,MOVIE,Paradise in Harlem
1947,68,0.0,5.5,MOVIE,Danger Street
1936,70,0.0,5.0,MOVIE,The House of Secrets
1946,69,0.0,5.5,MOVIE,Swamp Fire
1940,88,0.0,6.5,MOVIE,The House Across the Bay
1946,64,0.0,6.4,MOVIE,Behind Green Lights
1940,60,0.0,6.3,MOVIE,Hidden Gold
1939,54,0.0,5.8,MOVIE,Straight Shooter
1949,71,0.0,6.5,MOVIE,Sons of New Mexico
1940,84,0.0,5.7,MOVIE,Little Men
1946,74,0.0,5.7,MOVIE,The Magnificent Rogue
1923,69,0.0,6.6,MOVIE,The Extra Girl
1945,72,0.0,6.0,MOVIE,Her Favorite Patient
1935,60,0.0,6.3,MOVIE,Sunset Range
1928,78,0.0,6.9,MOVIE,The Garden of Eden
1934,86,0.0,6.7,MOVIE,There's Always Tomorrow
1946,62,0.0,5.9,MOVIE,Dick Tracy vs. Cueball
1944,66,0.0,6.0,MOVIE,Gambler's Choice
1945,62,0.0,2.8,MOVIE,The White Gorilla
1931,82,0.0,6.1,MOVIE,Behind Office Doors
1934,77,0.0,5.7,MOVIE,365 Nights in Hollywood
